gene,cell_type,tier,PP.H4,b,se,pval,fdr,or,or_lci,or_uci,n_drugs,approved_drugs,drug_mechanisms,indications,direction
CTSH,B Mem,Tier 2 (Moderate),0.596,0.649935668608337,0.200505156223954,0.00118906169379183,0.0282327835919699,1.91541760357025,1.292974738414,2.83750678730745,0,,,,Risk (↑ expression → ↑ MG risk)
MDH1,CD8 NC,Tier 2 (Moderate),0.617,0.482110333386972,0.149848450750173,0.00129394444416053,0.030250430420713,1.61948845909176,1.2073252431689,2.17235818100465,0,,,,Risk (↑ expression → ↑ MG risk)
EVI2A,CD8 ET,Tier 2 (Moderate),0.573,-0.247576763159986,0.0774966237370715,0.00139986904002726,0.0326263956016168,0.780690290257076,0.670675312116021,0.908751698908879,0,,,,Protective (↑ expression → ↓ MG risk)
KISS1R,CD4 NC,Tier 2 (Moderate),0.633,0.305236970465642,0.0960267994815196,0.00147955279618232,0.0341691250619857,1.35694652115854,1.12414690741925,1.63795661326099,0,,,,Risk (↑ expression → ↑ MG risk)
CTSH,DC,Tier 2 (Moderate),0.575,0.631790436046648,0.198909933918847,0.00149185186976794,0.0343487591105964,1.88097533221566,1.27370116537506,2.7777851638865,0,,,,Risk (↑ expression → ↑ MG risk)
MDH1,CD4 NC,Tier 2 (Moderate),0.552,0.363443498076638,0.11536687941732,0.00163087314001941,0.0361175596163262,1.43827358938528,1.14720025646287,1.80319949047203,0,,,,Risk (↑ expression → ↑ MG risk)
C19orf83,CD4 ET,Tier 2 (Moderate),0.565,-0.385030655353996,0.122264225692561,0.00163735724117915,0.0361175596163262,0.680429777069182,0.535438876904177,0.864682602427603,0,,,,Protective (↑ expression → ↓ MG risk)
C19orf83,CD8 NC,Tier 2 (Moderate),0.57,-0.265537515770357,0.084319880265482,0.00163735724117915,0.0361175596163262,0.766793675490577,0.649985982902279,0.904592646978275,0,,,,Protective (↑ expression → ↓ MG risk)
C19orf83,B Mem,Tier 2 (Moderate),0.563,-0.392081390439839,0.124503145253502,0.00163735724117915,0.0361175596163262,0.675649120343598,0.529348880455601,0.862383487858092,0,,,,Protective (↑ expression → ↓ MG risk)
C19orf83,CD4 NC,Tier 2 (Moderate),0.57,-0.18608560237868,0.0590903913000003,0.00163735724117915,0.0361175596163262,0.830202524629186,0.739409954722284,0.932143565959355,0,,,,Protective (↑ expression → ↓ MG risk)
C19orf83,CD8 ET,Tier 2 (Moderate),0.57,-0.171858681676953,0.0545727160983028,0.00163735724117915,0.0361175596163262,0.842098168661216,0.756675180686413,0.937164775272914,0,,,,Protective (↑ expression → ↓ MG risk)
C19orf83,NK,Tier 2 (Moderate),0.57,-0.154285181278459,0.0489923541477604,0.00163735724117915,0.0361175596163262,0.857027577937469,0.778559240109391,0.943404472654085,0,,,,Protective (↑ expression → ↓ MG risk)
C19orf83,NK R,Tier 2 (Moderate),0.57,-0.364000948827679,0.115586365763154,0.00163735724117915,0.0361175596163262,0.694890535411224,0.554022363498676,0.871576470586374,0,,,,Protective (↑ expression → ↓ MG risk)
RNASEH2C,CD4 NC,Tier 2 (Moderate),0.614,0.190216518814673,0.0604273434834205,0.00164473224891404,0.0361175596163262,1.20951145129388,1.07441779152399,1.3615913309998,0,,,,Risk (↑ expression → ↑ MG risk)
RNASEH2C,CD8 NC,Tier 2 (Moderate),0.616,0.328108435878297,0.104232383591999,0.00164473224891404,0.0361175596163262,1.38833950994156,1.13180416312083,1.703021297916,0,,,,Risk (↑ expression → ↑ MG risk)
RNASEH2C,NK,Tier 2 (Moderate),0.576,0.217077351926712,0.0689604025406803,0.00164473224891404,0.0361175596163262,1.24244020356447,1.08536350979081,1.4222494542228,0,,,,Risk (↑ expression → ↑ MG risk)
C21orf91,CD4 NC,Tier 2 (Moderate),0.644,-0.383718992473601,0.121938715796011,0.00165057451266369,0.0361413981187859,0.681322857132421,0.536483820196714,0.86526530377165,0,,,,Protective (↑ expression → ↓ MG risk)
TYMP,B Mem,Tier 2 (Moderate),0.569,-0.343159375957993,0.10928413076349,0.00168909814982616,0.0366679078353692,0.709525121302586,0.572721183034433,0.879006945564965,2,Tipiracil hydrochloride (Approved); Tipiracil (Approved),Thymidine phosphorylase inhibitor,Colorectal cancer; Gastric cancer; Pancreatic cancer,Protective (↑ expression → ↓ MG risk)
TYMP,DC,Tier 2 (Moderate),0.734,-0.278164281230991,0.0885854906307473,0.00168909814982617,0.0366679078353692,0.757172422078798,0.636486645171843,0.900741721928646,2,Tipiracil hydrochloride (Approved); Tipiracil (Approved),Thymidine phosphorylase inhibitor,Colorectal cancer; Gastric cancer; Pancreatic cancer,Protective (↑ expression → ↓ MG risk)
EVI2A,CD8 NC,Tier 2 (Moderate),0.564,-0.250133154819956,0.0802303794099864,0.00182276702970466,0.0392333821294505,0.778697088897196,0.665388167253249,0.911301381808585,0,,,,Protective (↑ expression → ↓ MG risk)
MPV17L2,CD4 NC,Tier 2 (Moderate),0.503,-0.353658927250984,0.113615341386486,0.00185337626031032,0.0397795277566041,0.702114398609392,0.561948541544603,0.87724158404191,0,,,,Protective (↑ expression → ↓ MG risk)
CTSH,Mono C,Tier 2 (Moderate),0.584,0.520820881137855,0.167465562629698,0.00187076068111155,0.0400395483241846,1.68340896133864,1.2123836474799,2.33743315245617,0,,,,Risk (↑ expression → ↑ MG risk)
EVI2A,B IN,Tier 2 (Moderate),0.566,-0.205468072888739,0.0664222130155343,0.00197901333267886,0.04209594448855,0.814266091316245,0.714869256965717,0.927483257961996,0,,,,Protective (↑ expression → ↓ MG risk)
EVI2A,CD4 NC,Tier 2 (Moderate),0.569,-0.165260046809755,0.0534240569730692,0.00197901333267886,0.04209594448855,0.847673240701799,0.763401481145565,0.941247745450572,0,,,,Protective (↑ expression → ↓ MG risk)
YWHAB,CD4 NC,Tier 2 (Moderate),0.521,-0.308523403717993,0.100657702270995,0.00217615440852908,0.0460568835543286,0.734530761247211,0.603015426195058,0.894729082840881,0,,,,Protective (↑ expression → ↓ MG risk)
YWHAB,CD8 ET,Tier 2 (Moderate),0.511,-0.210082775005675,0.0689309195398707,0.00230577625907492,0.0483958232498653,0.810517152631491,0.708087661479578,0.927763736677972,0,,,,Protective (↑ expression → ↓ MG risk)
RNASEH2C,B Mem,Tier 2 (Moderate),0.506,0.331432612170003,0.108843776660912,0.00232656767925192,0.0485639044696595,1.39296227441052,1.12535530213519,1.72420558578203,0,,,,Risk (↑ expression → ↑ MG risk)
