cell_type,gene,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,tier
CD4 NC,MDH1,2443,1.56e-08,0.294,8.22e-09,0.154,0.552,Tier 2 (Moderate)
CD4 NC,HLA-DMA,8246,5.04e-20,6.01e-16,8.39e-05,1,3.88e-06,Not colocalized
CD4 NC,HLA-A,7289,1.52e-41,9.75e-28,1.56e-14,1,1.29e-15,Not colocalized
CD4 NC,KISS1R,3319,3.31e-16,0.138,5.5e-16,0.229,0.633,Tier 2 (Moderate)
CD4 NC,ALDH7A1,3867,0.00293,0.0628,0.000405,0.00777,0.926,Tier 1 (Strong)
CD4 NC,TRIM31,7862,7.18e-38,9.43e-28,7.61e-11,1,5.19e-05,Not colocalized
CD4 NC,EGFL8,10626,9.82e-30,6.29e-24,1.56e-06,1,7.23e-08,Not colocalized
CD4 NC,BTN2A1,3883,1.53e-40,2.45e-16,6.23e-25,1,1.8e-12,Not colocalized
CD4 ET,ZNF165,3556,2.46e-26,1.98e-20,1.24e-06,1,4.36e-07,Not colocalized
CD4 ET,EEF1D,3340,0.000521,0.311,0.000388,0.231,0.457,Not colocalized
CD4 ET,HIST1H2BG,4105,2e-18,4.03e-15,0.00016,0.323,0.677,Tier 2 (Moderate)
CD4 ET,HIST1H4B,4300,1.89e-22,1.84e-16,1.4e-08,0.0127,0.987,Tier 1 (Strong)
CD4 ET,ZFP57,7169,5.2e-52,9.75e-28,5.34e-25,1,3.24e-15,Not colocalized
CD4 ET,XXbac-BPG181B23.7,8524,2.31e-31,2.87e-26,8.05e-06,1,6.73e-07,Not colocalized
CD4 ET,C19orf83,3718,0.00505,0.387,0.000559,0.0423,0.565,Tier 2 (Moderate)
CD4 ET,TNFRSF14,3313,0.000321,0.0652,0.000197,0.0392,0.895,Tier 1 (Strong)
CD4 ET,HLA-B,8444,9.49e-90,2.87e-26,3.3e-64,1,4.7e-24,Not colocalized
CD4 ET,HLA-A,7289,1.01e-36,9.75e-28,1.04e-09,1,4.43e-11,Not colocalized
CD4 ET,PRRT1,10665,1.36e-27,6.17e-24,0.000215,0.98,0.0196,Not colocalized
CD4 ET,MSH5,10204,4.06e-42,2.93e-26,1.38e-16,1,2.1e-10,Not colocalized
CD4 ET,PSMB9,8029,2.72e-19,7.25e-17,0.00373,0.996,0.000169,Not colocalized
CD4 ET,HCG25,8152,1.72e-51,3.78e-15,2.22e-38,0.0479,0.952,Tier 1 (Strong)
CD4 ET,KISS1R,3319,2.05e-05,0.0181,3.41e-05,0.0291,0.953,Tier 1 (Strong)
CD4 ET,FKBPL,10546,5.97e-28,6.16e-24,9.64e-05,0.995,0.00453,Not colocalized
CD4 ET,ORMDL3,2449,4.18e-19,4.31e-06,2.07e-14,0.213,0.787,Tier 2 (Moderate)
CD4 ET,HLA-C,8205,1.02e-39,2.87e-26,3.54e-14,1,8.6e-15,Not colocalized
CD4 ET,SLC44A4,10415,1.18e-40,2.99e-26,3.93e-15,1,4.36e-16,Not colocalized
CD4 ET,HIST1H2BH,4072,3.04e-33,3.38e-16,2.46e-19,0.0264,0.974,Tier 1 (Strong)
CD4 ET,KANSL1-AS1,3347,5.46e-206,0.13,1.78e-205,0.425,0.445,Not colocalized
CD4 ET,BCAS4,4011,0.00018,0.0249,0.000607,0.0829,0.891,Tier 1 (Strong)
CD4 ET,BTN3A2,4004,1.03e-43,7.65e-16,1.35e-28,1,4.03e-08,Not colocalized
CD4 ET,ZNF391,3248,2.24e-41,1.76e-18,1.85e-24,0.145,0.855,Tier 1 (Strong)
CD4 ET,U91328.19,4317,4.91e-25,5e-15,3.65e-11,0.37,0.63,Tier 2 (Moderate)
CD4 ET,RP11-457M11.5,3611,2.18e-20,4.4e-18,0.000352,0.07,0.93,Tier 1 (Strong)
CD4 SOX4,SYNCRIP,4581,9.93e-09,0.00825,7.36e-07,0.611,0.381,Not colocalized
CD4 SOX4,BTN2A1,3883,4.41e-21,1.09e-17,1.8e-05,0.0436,0.956,Tier 1 (Strong)
CD4 SOX4,NEU1,10356,1.02e-30,2.97e-26,3.42e-05,1,2.36e-06,Not colocalized
CD4 SOX4,RNASET2,4831,1.05e-09,0.000963,3.37e-07,0.308,0.691,Tier 2 (Moderate)
CD4 SOX4,AGPAT1,10636,1.35e-38,6.3e-24,2.14e-15,1,1.79e-07,Not colocalized
CD4 SOX4,HLA-B,8444,5.61e-43,2.87e-26,1.95e-17,1,8.73e-19,Not colocalized
CD4 SOX4,DXO,10351,3.72e-34,5.99e-24,6.21e-11,1,1.61e-11,Not colocalized
CD4 SOX4,LTA,8477,2.23e-98,2.87e-26,7.78e-73,1,1.14e-17,Not colocalized
CD4 SOX4,IER3,10661,2.1e-50,1.01e-27,2.09e-23,1,3.86e-24,Not colocalized
CD4 SOX4,SKIV2L,10382,1.19e-33,2.98e-26,4.01e-08,1,1.65e-09,Not colocalized
CD4 SOX4,MICA,8569,7.54e-45,2.87e-26,2.62e-19,1,1.01e-20,Not colocalized
CD4 SOX4,HLA-DRB5,7503,7.56e-24,1.08e-20,0.000702,0.999,0.000584,Not colocalized
CD8 NC,MDH1,2443,0.000115,0.251,6.04e-05,0.132,0.617,Tier 2 (Moderate)
CD8 NC,MED16,3266,1.26e-34,0.0134,2.1e-34,0.0213,0.965,Tier 1 (Strong)
CD8 NC,RNASEH2C,2213,3.48e-06,0.327,6.22e-07,0.0577,0.616,Tier 2 (Moderate)
CD8 NC,EEF1D,3340,0.000126,0.318,9.42e-05,0.237,0.445,Not colocalized
CD8 NC,HIST1H2AD,4086,3.38e-18,1.25e-14,0.000271,0.999,0.00045,Not colocalized
CD8 NC,LRRC37A2,3560,1.24e-08,0.186,3.69e-08,0.553,0.261,Not colocalized
CD8 NC,C6orf25,9831,1.14e-29,2.87e-26,0.000396,0.999,0.00037,Not colocalized
CD8 NC,C19orf83,3718,1.39e-10,0.387,1.53e-11,0.0422,0.57,Tier 2 (Moderate)
CD8 NC,NOTCH4,10482,1.55e-49,6.21e-24,2.5e-26,1,9.2e-20,Not colocalized
CD8 NC,HLA-B,8444,3.64e-97,2.87e-26,1.27e-71,1,4.7e-24,Not colocalized
CD8 NC,HLA-A,7289,2.26e-34,9.75e-28,2.32e-07,1,1.04e-08,Not colocalized
CD8 NC,EVI2A,2798,2.98e-13,0.357,6.65e-14,0.079,0.564,Tier 2 (Moderate)
CD8 NC,XXbac-BPG181B23.7,8524,5.21e-28,2.82e-26,0.0182,0.981,0.000684,Not colocalized
CD8 NC,KISS1R,3319,6.78e-08,0.037,1.13e-07,0.0606,0.902,Tier 1 (Strong)
CD8 NC,HIST1H3I,3351,7.43e-33,2.22e-21,3.06e-13,0.0904,0.91,Tier 1 (Strong)
CD8 NC,HFE,4222,3.6e-18,1.62e-15,0.000285,0.127,0.872,Tier 1 (Strong)
CD8 NC,BTN2A1,3883,7.8e-22,2.45e-16,3.18e-06,1,9.89e-06,Not colocalized
CD8 NC,HLA-C,8205,3.89e-44,2.87e-26,1.35e-18,1,4.21e-18,Not colocalized
CD8 NC,SESN3,3272,1.47e-13,2.72e-08,6.16e-09,0.000143,1,Tier 1 (Strong)
CD8 NC,BTN3A1,3950,2.1e-22,2.54e-16,8.25e-07,1,4.1e-08,Not colocalized
CD8 NC,HIST1H2BB,4286,5.86e-24,3.15e-16,4.35e-10,0.0224,0.978,Tier 1 (Strong)
CD8 NC,PRSS16,3253,2.31e-21,4.81e-18,8.83e-05,0.183,0.816,Tier 1 (Strong)
CD8 NC,BTN3A2,4004,3.43e-54,7.65e-16,4.48e-39,1,3.97e-08,Not colocalized
CD8 NC,HIST1H2BO,3393,3.23e-64,2.34e-20,1.38e-44,1,4.67e-16,Not colocalized
CD8 NC,CRHR1,3694,1.6e-09,0.121,5.41e-09,0.409,0.47,Not colocalized
CD8 NC,HIST1H2BI,4067,1.62e-21,6.98e-16,1.31e-07,0.0556,0.944,Tier 1 (Strong)
CD8 NC,XXbac-BPG252P9.9,10784,4.01e-49,1.02e-27,3.94e-22,0.999,0.000929,Not colocalized
CD8 NC,ZSCAN9,3660,1.89e-33,1.68e-20,1.12e-13,1,1.03e-12,Not colocalized
CD8 NC,HIST1H3H,3228,3.79e-23,1.32e-20,0.000748,0.26,0.739,Tier 2 (Moderate)
CD8 NC,ZSCAN31,3711,1.86e-25,9.01e-21,1.17e-05,0.57,0.43,Not colocalized
CD8 NC,DDR1,9425,3.56e-42,9.43e-28,3.78e-15,1,8.5e-12,Not colocalized
CD8 NC,HIST1H2BL,3219,5.52e-61,5.26e-20,1.05e-41,1,5.63e-08,Not colocalized
CD8 ET,CFD,3222,2.11e-40,0.0593,3.51e-40,0.0976,0.843,Tier 1 (Strong)
CD8 ET,R3HDM4,3299,2.77e-26,0.012,4.6e-26,0.019,0.969,Tier 1 (Strong)
CD8 ET,MED16,3266,1.03e-47,0.0517,1.71e-47,0.085,0.863,Tier 1 (Strong)
CD8 ET,PNMT,2305,5.59e-28,2.01e-05,2.77e-23,0.995,0.00544,Not colocalized
CD8 ET,XXbac-BPG252P9.10,10663,6.92e-31,1e-27,0.000689,0.998,9e-04,Not colocalized
CD8 ET,HIST1H4I,3235,1.05e-71,6.4e-18,2.23e-55,0.135,0.865,Tier 1 (Strong)
CD8 ET,HCG14,5360,9.11e-59,1.47e-22,6.2e-37,1,3.71e-19,Not colocalized
CD8 ET,KB-1980E6.3,4121,5.32e-07,0.00748,1.62e-07,0.00129,0.991,Tier 1 (Strong)
CD8 ET,C6orf47-AS1,9072,6.37e-68,2.87e-26,2.22e-42,1,6.97e-20,Not colocalized
CD8 ET,C19orf83,3718,4.29e-34,0.387,4.75e-35,0.0422,0.57,Tier 2 (Moderate)
CD8 ET,RP11-669E14.6,3369,1.04e-11,0.176,3.44e-11,0.58,0.244,Not colocalized
CD8 ET,HLA-B,8444,7.52e-111,2.87e-26,2.62e-85,1,4.7e-24,Not colocalized
CD8 ET,EVI2A,2798,4.58e-15,0.35,1.02e-15,0.0775,0.573,Tier 2 (Moderate)
CD8 ET,PGBD1,3693,4e-27,2.71e-21,2.51e-07,0.169,0.831,Tier 1 (Strong)
CD8 ET,SLC44A4,10415,1.37e-30,2.99e-26,4.57e-05,0.999,0.000959,Not colocalized
CD8 ET,POU5F1,8189,8.1e-47,2.87e-26,2.82e-21,1,6.09e-08,Not colocalized
CD8 ET,RNASEH2C,2213,1.96e-10,0.431,3.5e-11,0.0764,0.493,Not colocalized
CD8 ET,HIST1H2AH,3226,3.76e-23,4.84e-18,8.01e-07,0.102,0.898,Tier 1 (Strong)
CD8 ET,HIST1H3H,3228,7.81e-26,2.85e-21,1.54e-06,0.0554,0.945,Tier 1 (Strong)
CD8 ET,HIST1H2BM,3254,4.02e-29,4.86e-20,8.27e-10,1,1.93e-07,Not colocalized
CD8 ET,BTN2A1,3883,2.57e-20,2.45e-16,0.000105,1,5.45e-05,Not colocalized
CD8 ET,TNFRSF14,3313,1.26e-07,0.0382,7.73e-08,0.0225,0.939,Tier 1 (Strong)
CD8 ET,HIST1H4F,4082,3.23e-38,5.03e-16,2.59e-24,0.0393,0.961,Tier 1 (Strong)
CD8 ET,BTN3A1,3950,2.62e-21,2.54e-16,1.03e-05,1,4.27e-07,Not colocalized
CD8 ET,YWHAB,3592,1.08e-21,0.421,1.73e-22,0.0672,0.511,Tier 2 (Moderate)
CD8 ET,BCAS4,4011,2.62e-07,0.0278,8.83e-07,0.0927,0.879,Tier 1 (Strong)
CD8 ET,LINC00240,3346,4.98e-27,2.84e-18,9.39e-11,0.0528,0.947,Tier 1 (Strong)
CD8 ET,BTN3A2,4004,1.27e-63,7.65e-16,1.66e-48,1,3.96e-08,Not colocalized
CD8 ET,HIST1H2BI,4067,3.58e-25,3.24e-16,2.9e-11,0.0253,0.975,Tier 1 (Strong)
CD8 ET,HIST1H2AI,3226,4.98e-29,5.07e-20,9.83e-10,1,1.73e-05,Not colocalized
CD8 ET,HIST1H2BL,3219,2.26e-26,3.53e-21,4.28e-07,0.0662,0.934,Tier 1 (Strong)
CD8 ET,HIST1H3J,3392,4.84e-25,1.91e-21,2.07e-05,0.0809,0.919,Tier 1 (Strong)
CD8 ET,NOTCH4,10482,3.65e-27,6.2e-24,0.000588,0.999,3.39e-05,Not colocalized
CD8 ET,HIST1H4B,4300,7.89e-21,1.97e-15,5.85e-07,0.145,0.855,Tier 1 (Strong)
CD8 S100B,PPT2,10683,1.43e-36,6.31e-24,2.26e-13,1,6.33e-07,Not colocalized
CD8 S100B,RNASET2,4831,6.67e-24,0.000529,2.14e-21,0.169,0.831,Tier 1 (Strong)
CD8 S100B,ORMDL3,2449,2.51e-18,5.84e-06,1.24e-13,0.289,0.711,Tier 2 (Moderate)
CD8 S100B,HIST1H3D,4089,6.18e-25,1.25e-14,4.95e-11,1,1.77e-08,Not colocalized
CD8 S100B,HIST1H4H,4061,1.87e-40,5.62e-16,1.52e-26,0.0449,0.955,Tier 1 (Strong)
CD8 S100B,HIST1H2AG,3234,1.65e-24,4.45e-18,3.51e-08,0.0939,0.906,Tier 1 (Strong)
CD8 S100B,CTLA4,2494,1.12e-25,0.0788,6.18e-25,0.433,0.489,Not colocalized
CD8 S100B,ZFP57,7169,1.33e-108,9.75e-28,1.36e-81,1,2.76e-18,Not colocalized
CD8 S100B,HLA-B,8444,4.59e-84,2.87e-26,1.6e-58,1,4.7e-24,Not colocalized
CD8 S100B,HCG27,8151,1.85e-70,2.87e-26,6.44e-45,1,8.36e-09,Not colocalized
CD8 S100B,HLA-DQB1,7631,1.29e-22,5.04e-18,2.56e-05,1,9.13e-07,Not colocalized
