cell_type,gene,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,tier
NK R,ZSCAN16,3594,9.54e-25,2.08e-21,4.84e-05,0.105,0.895,Tier 1 (Strong)
NK R,XXbac-BPG299F13.17,8143,3.07e-30,2.87e-26,0.000107,1,5.57e-06,Not colocalized
NK R,HMGN4,3768,3.92e-36,3.63e-17,1.63e-20,0.15,0.85,Tier 1 (Strong)
NK R,KANSL1-AS1,3347,7.41e-21,0.176,2.42e-20,0.575,0.248,Not colocalized
NK R,APOM,9043,9.8e-32,2.87e-26,3.41e-06,1,2.99e-07,Not colocalized
NK R,HIST1H2BC,4108,1.13e-27,3.42e-16,8.96e-14,0.0262,0.974,Tier 1 (Strong)
NK R,HIST1H4E,4091,6.13e-34,1.25e-14,4.91e-20,1,3.94e-11,Not colocalized
NK R,MICA,8569,3.99e-36,2.75e-26,1.39e-10,0.957,0.0431,Not colocalized
NK R,CCHCR1,8249,8.19e-46,2.79e-26,2.85e-20,0.971,0.0295,Not colocalized
NK R,LTA,8477,1.42e-35,2.87e-26,4.94e-10,1,1.98e-11,Not colocalized
NK R,VPS52,8191,5.56e-36,2.36e-15,7.18e-23,0.0295,0.971,Tier 1 (Strong)
NK R,DHX16,11121,1.12e-31,1.05e-27,0.000107,1,6.21e-06,Not colocalized
B IN,ZFP36L1,3319,0.000987,0.178,0.000319,0.0569,0.763,Tier 2 (Moderate)
B IN,FKBPL,10546,1.53e-28,6.19e-24,2.46e-05,1,3.65e-06,Not colocalized
B IN,HIST1H4I,3235,7.6e-34,6.24e-18,1.62e-17,0.132,0.868,Tier 1 (Strong)
B IN,CTA-14H9.5,3776,1.4e-31,2.22e-16,5.83e-16,0.921,0.079,Not colocalized
B IN,ZFP57,7169,1.37e-86,9.75e-28,1.41e-59,1,1.74e-17,Not colocalized
B IN,ZBTB9,7225,2.88e-28,2.23e-14,6.12e-17,0.00375,0.996,Tier 1 (Strong)
B IN,HLA-C,8205,4.59e-50,2.87e-26,1.6e-24,1,7.08e-14,Not colocalized
B IN,LY6G5C,9167,7.03e-47,2.87e-26,2.45e-21,1,0.000491,Not colocalized
B IN,HLA-B,8444,4.39e-82,2.87e-26,1.53e-56,1,4.7e-24,Not colocalized
B IN,ABHD16A,9496,1.4e-50,2.87e-26,4.87e-25,0.999,0.00087,Not colocalized
B IN,HLA-A,7289,3.74e-47,9.75e-28,3.84e-20,1,1.64e-21,Not colocalized
B IN,MSH5,10204,2.63e-31,2.93e-26,8.97e-06,1,3.73e-06,Not colocalized
B IN,EVI2A,2798,3.59e-22,0.356,8.02e-23,0.0788,0.566,Tier 2 (Moderate)
B IN,PGBD1,3693,5.95e-31,1.99e-21,3.74e-11,0.124,0.876,Tier 1 (Strong)
B IN,HIST1H2AM,3391,5.77e-35,1.92e-21,2.47e-15,0.0814,0.919,Tier 1 (Strong)
B IN,ATP6V1G2,8498,1.23e-48,2.86e-26,4.28e-23,0.997,0.00314,Not colocalized
B IN,HCG23,8261,4.38e-29,1.25e-25,6.03e-06,0.0162,0.984,Tier 1 (Strong)
B IN,XXbac-BPG252P9.10,10663,3.76e-44,1.01e-27,3.74e-17,1,1.33e-17,Not colocalized
B IN,HIST1H2BG,4105,1.12e-21,1.59e-15,8.94e-08,0.127,0.873,Tier 1 (Strong)
B IN,ACAP1,3598,3.16e-05,0.165,6.55e-05,0.342,0.493,Not colocalized
B IN,CTSH,4185,4.69e-06,0.0507,4.36e-06,0.0462,0.903,Tier 1 (Strong)
B IN,HIST1H2BJ,3245,3.6e-34,2.75e-18,7.67e-18,0.0576,0.942,Tier 1 (Strong)
B IN,GTF2H4,9398,3.49e-56,9.43e-28,3.7e-29,1,5.7e-27,Not colocalized
B IN,HLA-DQA1,7618,3.21e-41,4.28e-18,7.5e-24,1,7.7e-16,Not colocalized
B IN,BCAS4,4011,1.61e-07,0.00794,5.42e-07,0.0258,0.966,Tier 1 (Strong)
B IN,BTN3A2,4004,2.64e-28,7.65e-16,3.45e-13,1,5.34e-08,Not colocalized
B IN,HIST1H2AB,4301,3.39e-23,2.58e-16,2.52e-09,0.0181,0.982,Tier 1 (Strong)
B IN,RP11-457M11.5,3611,1.16e-20,1.92e-17,0.000187,0.308,0.692,Tier 2 (Moderate)
B IN,ORMDL3,2449,1.46e-50,1.46e-05,7.24e-46,0.722,0.278,Not colocalized
B IN,HCG27,8151,7.25e-32,2.87e-26,2.53e-06,1,9.22e-08,Not colocalized
B IN,HIST1H1B,3332,3.52e-68,2.79e-20,1.26e-48,1,5.91e-11,Not colocalized
B Mem,ZFP57,7169,1.66e-55,9.75e-28,1.7e-28,1,1.31e-09,Not colocalized
B Mem,MED16,3266,1.07e-08,0.023,1.78e-08,0.0374,0.94,Tier 1 (Strong)
B Mem,KANSL1-AS1,3347,4.25e-86,0.115,1.39e-85,0.376,0.509,Tier 2 (Moderate)
B Mem,TYMP,2673,2.52e-05,0.387,2.89e-06,0.0439,0.569,Tier 2 (Moderate)
B Mem,IER3,10661,3.9e-31,1e-27,0.000388,0.998,0.00163,Not colocalized
B Mem,YWHAB,3592,1.5e-05,0.181,2.4e-06,0.0283,0.791,Tier 2 (Moderate)
B Mem,HLA-C,8205,1.73e-53,2.87e-26,6.01e-28,1,7.07e-14,Not colocalized
B Mem,C19orf83,3718,0.00864,0.385,0.000955,0.042,0.563,Tier 2 (Moderate)
B Mem,HLA-B,8444,1.05e-89,2.87e-26,3.67e-64,1,4.7e-24,Not colocalized
B Mem,EVI2A,2798,1.78e-09,0.321,3.97e-10,0.071,0.609,Tier 2 (Moderate)
B Mem,HLA-A,7289,5.66e-40,9.75e-28,5.8e-13,1,5.65e-14,Not colocalized
B Mem,HCG25,8152,2.57e-38,7.75e-14,3.31e-25,1,2.02e-06,Not colocalized
B Mem,ATP6V1G2,8498,5.68e-36,2.87e-26,1.98e-10,1,1.25e-11,Not colocalized
B Mem,RNASEH2C,2213,2.42e-05,0.419,4.32e-06,0.0744,0.506,Tier 2 (Moderate)
B Mem,CTSH,4185,6.89e-07,0.21,6.4e-07,0.194,0.596,Tier 2 (Moderate)
B Mem,HIST1H2BG,4105,4.98e-31,1.22e-14,3.99e-17,0.981,0.0193,Not colocalized
B Mem,HIST1H4E,4091,1.87e-32,1.11e-14,1.49e-18,0.892,0.108,Not colocalized
B Mem,BCAS4,4011,3.15e-07,0.0139,1.06e-06,0.0459,0.94,Tier 1 (Strong)
B Mem,BTN3A2,4004,3.63e-31,7.65e-16,4.74e-16,1,4.24e-08,Not colocalized
B Mem,ZNF85,4948,1.06e-15,0.261,1.25e-15,0.306,0.433,Not colocalized
B Mem,ORMDL3,2449,8.4e-36,2.76e-06,4.16e-31,0.136,0.864,Tier 1 (Strong)
B Mem,ZBTB9,7225,7.61e-34,1.43e-14,1.62e-22,0.00204,0.998,Tier 1 (Strong)
B Mem,HLA-DRB1,7533,4.41e-70,1.08e-20,4.09e-50,1,3.45e-20,Not colocalized
B Mem,PRSS16,3253,1.04e-20,2.31e-17,0.000398,0.886,0.114,Not colocalized
B Mem,HIST1H4J,3274,2.39e-22,4.66e-20,0.0051,0.994,0.00121,Not colocalized
Mono C,TCF19,8178,1.33e-36,2.87e-26,4.62e-11,1,4.02e-12,Not colocalized
Mono C,NKAPL,3638,2.97e-28,1.4e-20,1.86e-08,0.877,0.123,Not colocalized
Mono C,HLA-C,8205,8.16e-47,2.87e-26,2.84e-21,1,7.07e-14,Not colocalized
Mono C,CTSH,4185,2.34e-11,0.216,2.18e-11,0.2,0.584,Tier 2 (Moderate)
Mono C,XXbac-BPG252P9.10,10663,2.25e-30,6.6e-28,0.00223,0.656,0.341,Not colocalized
Mono C,HLA-B,8444,2.91e-84,2.87e-26,1.01e-58,1,4.7e-24,Not colocalized
Mono C,XXbac-BPG299F13.17,8143,1.35e-29,2.87e-26,0.000471,1,2.31e-05,Not colocalized
Mono C,HSD17B8,8292,2.25e-22,2.52e-15,4.6e-09,0.0506,0.949,Tier 1 (Strong)
Mono C,ZKSCAN3,3666,7.71e-27,1.58e-20,4.88e-07,0.999,0.000813,Not colocalized
Mono C,TYMP,2673,7.41e-15,0.133,8.51e-16,0.0145,0.852,Tier 1 (Strong)
Mono C,ZSCAN12,3743,4.82e-36,2.05e-24,5.03e-15,0.00115,0.999,Tier 1 (Strong)
