gene,ensembl_id,disease_id,disease,therapeutic_area,overall_score
ACAP1,ENSG00000072818,EFO_0004705,hypothyroidism,endocrine system disease,0.489109136073657
ACAP1,ENSG00000072818,EFO_1000627,thyroid disease,endocrine system disease,0.483867423624156
ACAP1,ENSG00000072818,MONDO_0005147,type 1 diabetes mellitus,endocrine system disease; gastrointestinal disease; immune system disease; nutritional or metabolic disease; phenotype,0.344150503778992
ACAP1,ENSG00000072818,EFO_1001055,myxedema,endocrine system disease,0.338703691463045
ACAP1,ENSG00000072818,EFO_0006812,autoimmune thyroid disease,immune system disease; endocrine system disease,0.306271312428574
ACAP1,ENSG00000072818,EFO_0009190,Thyrotoxicosis,immune system disease; endocrine system disease; phenotype,0.304352504609547
ACAP1,ENSG00000072818,EFO_0005140,autoimmune disease,immune system disease,0.297027877609554
ACAP1,ENSG00000072818,MONDO_0007915,systemic lupus erythematosus,immune system disease; urinary system disease; musculoskeletal or connective tissue disease; phenotype,0.294952155359716
ACAP1,ENSG00000072818,EFO_0003779,Hashimoto's thyroiditis,immune system disease; endocrine system disease,0.28659320634169
ACAP1,ENSG00000072818,EFO_0004283,goiter,endocrine system disease; phenotype,0.268120377230987
ACAP1,ENSG00000072818,EFO_0000616,neoplasm,cancer or benign tumor,0.0848128940094354
ACAP1,ENSG00000072818,MONDO_0004992,cancer,cancer or benign tumor,0.0769317425511675
ACAP1,ENSG00000072818,EFO_0000571,lung adenocarcinoma,respiratory or thoracic disease; cancer or benign tumor,0.075155706027266
ACAP1,ENSG00000072818,Orphanet_552,MODY,"endocrine system disease; genetic, familial or congenital disease; nutritional or metabolic disease; phenotype",0.0663765419013724
ACAP1,ENSG00000072818,MONDO_0010894,maturity-onset diabetes of the young type 3,"immune system disease; genetic, familial or congenital disease; nutritional or metabolic disease; endocrine system disease; phenotype",0.0548604336293971
ACAP1,ENSG00000072818,MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,"nutritional or metabolic disease; genetic, familial or congenital disease",0.0506102653005231
ACAP1,ENSG00000072818,EFO_0009650,hyperproinsulinemia,"genetic, familial or congenital disease",0.0477645004194509
ACAP1,ENSG00000072818,MONDO_0013240,maturity-onset diabetes of the young type 10,"immune system disease; genetic, familial or congenital disease; nutritional or metabolic disease; endocrine system disease; phenotype",0.0460644330879012
ACAP1,ENSG00000072818,MONDO_0012396,exercise-induced hyperinsulinism,"genetic, familial or congenital disease; endocrine system disease; nutritional or metabolic disease",0.0439430447220111
ACAP1,ENSG00000072818,MONDO_0009414,glycogen storage disorder due to hepatic glycogen synthase deficiency,"nutritional or metabolic disease; genetic, familial or congenital disease",0.0437878211830435
ACAP1,ENSG00000072818,Orphanet_2089,Glycogen storage disease due to hepatic glycogen synthase deficiency,"nutritional or metabolic disease; genetic, familial or congenital disease",0.0437878211830435
ACAP1,ENSG00000072818,EFO_0000668,preeclampsia,"genetic, familial or congenital disease; pregnancy or perinatal disease; cardiovascular disease; phenotype",0.0375003430355279
ACAP1,ENSG00000072818,MONDO_0012381,hyperinsulinism due to INSR deficiency,"endocrine system disease; nutritional or metabolic disease; genetic, familial or congenital disease",0.0354796660497314
ACAP1,ENSG00000072818,MONDO_0009864,"phosphoenolpyruvate carboxykinase deficiency, mitochondrial","nutritional or metabolic disease; genetic, familial or congenital disease",0.0331439213681241
ACAP1,ENSG00000072818,EFO_0000756,melanoma,cancer or benign tumor,0.0297511783021185
ACAP1,ENSG00000072818,EFO_0000637,osteosarcoma,musculoskeletal or connective tissue disease; cancer or benign tumor,0.0216074623002876
ACAP1,ENSG00000072818,MONDO_0007254,breast cancer,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.0204989519622285
ACAP1,ENSG00000072818,MONDO_0008903,lung cancer,respiratory or thoracic disease; cancer or benign tumor,0.0199573121529739
ACAP1,ENSG00000072818,MONDO_0008170,ovarian cancer,endocrine system disease; reproductive system or breast disease; cancer or benign tumor,0.0181094128795504
ACAP1,ENSG00000072818,EFO_0000495,fetal growth restriction,pregnancy or perinatal disease; reproductive system or breast disease,0.0177398330248657
ACAP1,ENSG00000072818,EFO_0000519,glioblastoma multiforme,nervous system disease; cancer or benign tumor,0.0171854632428386
ACAP1,ENSG00000072818,EFO_0000557,juvenile dermatomyositis,integumentary system disease; musculoskeletal or connective tissue disease; urinary system disease; immune system disease; nervous system disease; respiratory or thoracic disease; phenotype,0.0153260454605948
ACAP1,ENSG00000072818,EFO_0005221,cholangiocarcinoma,gastrointestinal disease; endocrine system disease; cancer or benign tumor,0.0121961352045952
ACAP1,ENSG00000072818,EFO_0006544,bladder transitional cell carcinoma,urinary system disease; cancer or benign tumor,0.0118060231357613
ACAP1,ENSG00000072818,EFO_0003834,cutaneous lupus erythematosus,immune system disease; musculoskeletal or connective tissue disease,0.00988232246939367
ACAP1,ENSG00000072818,MONDO_0008840,ataxia telangiectasia,"genetic, familial or congenital disease; endocrine system disease; immune system disease; nervous system disease; reproductive system or breast disease; phenotype",0.00869251818218419
ACAP1,ENSG00000072818,EFO_0000186,invasive breast ductal carcinoma,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.00829252881503651
ACAP1,ENSG00000072818,MONDO_0004975,Alzheimer disease,psychiatric disorder; nervous system disease; phenotype,0.00751741806334146
ACAP1,ENSG00000072818,EFO_1000044,pancreatic adenocarcinoma,gastrointestinal disease; cancer or benign tumor; endocrine system disease,0.00739159709369404
ACAP1,ENSG00000072818,EFO_0000389,cutaneous melanoma,integumentary system disease; cancer or benign tumor,0.00739159709369404
ACAP1,ENSG00000072818,EFO_1000796,adrenal cortex carcinoma,cardiovascular disease; endocrine system disease; urinary system disease; cancer or benign tumor,0.00739159709369404
ACAP1,ENSG00000072818,MONDO_0007763,nonpapillary renal cell carcinoma,urinary system disease; cancer or benign tumor,0.00739159709369404
ACAP1,ENSG00000072818,EFO_0000544,infection,biological_process,0.00503039246654178
ACAP1,ENSG00000072818,EFO_1000869,chronic interstitial cystitis,urinary system disease,0.00390819067447938
ACAP1,ENSG00000072818,MONDO_0002691,liver cancer,gastrointestinal disease; endocrine system disease; cancer or benign tumor,0.00369579854684702
ACAP1,ENSG00000072818,MONDO_0001056,gastric cancer,gastrointestinal disease; cancer or benign tumor,0.00369579854684702
ACAP1,ENSG00000072818,EFO_0009709,metastatic neoplasm,cancer or benign tumor,0.00369579854684702
ACAP1,ENSG00000072818,MONDO_0018177,glioblastoma,nervous system disease; cancer or benign tumor,0.00369579854684702
ACAP1,ENSG00000072818,MONDO_0007576,esophageal cancer,gastrointestinal disease; cancer or benign tumor,0.00369579854684702
ACAP1,ENSG00000072818,MONDO_0005148,type 2 diabetes mellitus,endocrine system disease; nutritional or metabolic disease; phenotype,0.00369579854684702
AGER,ENSG00000204305,MONDO_0100096,COVID-19,infectious disease,0.209498502166901
AGER,ENSG00000204305,MONDO_0004975,Alzheimer disease,psychiatric disorder; nervous system disease; phenotype,0.205698148648272
AGER,ENSG00000204305,EFO_0000341,chronic obstructive pulmonary disease,respiratory or thoracic disease,0.185634290887146
AGER,ENSG00000204305,EFO_0000616,neoplasm,cancer or benign tumor,0.116644693901808
AGER,ENSG00000204305,MONDO_0007254,breast cancer,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.114664330736946
AGER,ENSG00000204305,EFO_0000182,hepatocellular carcinoma,gastrointestinal disease; endocrine system disease; cancer or benign tumor,0.111724420780948
AGER,ENSG00000204305,EFO_0000339,chronic myelogenous leukemia,"musculoskeletal or connective tissue disease; genetic, familial or congenital disease; hematologic disease; immune system disease; cancer or benign tumor",0.111580328479668
AGER,ENSG00000204305,EFO_0000571,lung adenocarcinoma,respiratory or thoracic disease; cancer or benign tumor,0.110712814986068
AGER,ENSG00000204305,EFO_0000400,diabetes mellitus,endocrine system disease; nutritional or metabolic disease; phenotype,0.109925097643715
AGER,ENSG00000204305,MONDO_0001056,gastric cancer,gastrointestinal disease; cancer or benign tumor,0.109748884583379
AGER,ENSG00000204305,MONDO_0004992,cancer,cancer or benign tumor,0.109686919640142
AGER,ENSG00000204305,EFO_0000685,rheumatoid arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.106253262664598
AGER,ENSG00000204305,EFO_0001361,pulmonary arterial hypertension,respiratory or thoracic disease; cardiovascular disease; phenotype,0.104966659078217
AGER,ENSG00000204305,EFO_0001645,coronary artery disease,cardiovascular disease,0.101682985879356
AGER,ENSG00000204305,MONDO_0005147,type 1 diabetes mellitus,endocrine system disease; gastrointestinal disease; immune system disease; nutritional or metabolic disease; phenotype,0.100381569237853
AGER,ENSG00000204305,EFO_1001249,non-alcoholic steatohepatitis,endocrine system disease; gastrointestinal disease,0.0988542646276697
AGER,ENSG00000204305,EFO_0000519,glioblastoma multiforme,nervous system disease; cancer or benign tumor,0.0980387678829106
AGER,ENSG00000204305,MONDO_0018899,posterior cortical atrophy,"nervous system disease; genetic, familial or congenital disease; psychiatric disorder; phenotype",0.0976310597167716
AGER,ENSG00000204305,MONDO_0008903,lung cancer,respiratory or thoracic disease; cancer or benign tumor,0.0959005789626607
AGER,ENSG00000204305,EFO_0000756,melanoma,cancer or benign tumor,0.0957346834566436
AGER,ENSG00000204305,EFO_1001951,colorectal carcinoma,gastrointestinal disease; cancer or benign tumor,0.0936733265941662
AGER,ENSG00000204305,MONDO_0005148,type 2 diabetes mellitus,endocrine system disease; nutritional or metabolic disease; phenotype,0.0933339735687447
AGER,ENSG00000204305,MONDO_0008315,prostate cancer,reproductive system or breast disease; cancer or benign tumor,0.0918621491600954
AGER,ENSG00000204305,EFO_0003914,atherosclerosis,cardiovascular disease,0.0915385957803259
AGER,ENSG00000204305,MONDO_0004976,amyotrophic lateral sclerosis,nervous system disease; phenotype,0.0911409009711699
AGER,ENSG00000204305,EFO_0003060,non-small cell lung carcinoma,respiratory or thoracic disease; cancer or benign tumor,0.0909358421521148
AGER,ENSG00000204305,EFO_1000637,acute respiratory distress syndrome,respiratory or thoracic disease,0.0908726620756107
AGER,ENSG00000204305,MONDO_0800195,achalasia-alacrima syndrome,"genetic, familial or congenital disease",0.0903890318214152
AGER,ENSG00000204305,EFO_0000401,diabetic nephropathy,nutritional or metabolic disease; urinary system disease,0.0900463141467158
AGER,ENSG00000204305,EFO_0000544,infection,biological_process,0.0885029346799401
AGER,ENSG00000204305,HP_0100806,Sepsis,phenotype,0.0867153715153907
AGER,ENSG00000204305,MONDO_0004979,asthma,phenotype; respiratory or thoracic disease,0.0859811379319772
AGER,ENSG00000204305,EFO_0005922,esophageal squamous cell carcinoma,gastrointestinal disease; cancer or benign tumor,0.0858975301982415
AGER,ENSG00000204305,EFO_0005537,triple-negative breast cancer,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.0856829150800597
AGER,ENSG00000204305,EFO_0001073,obesity,nutritional or metabolic disease; phenotype,0.0842808211105198
AGER,ENSG00000204305,EFO_0000660,polycystic ovary syndrome,"endocrine system disease; genetic, familial or congenital disease; reproductive system or breast disease",0.0838398158654342
AGER,ENSG00000204305,EFO_0000729,ulcerative colitis,"gastrointestinal disease; immune system disease; genetic, familial or congenital disease",0.0837537379429498
AGER,ENSG00000204305,MONDO_0001627,dementia,psychiatric disorder; nervous system disease; phenotype,0.083555663713154
AGER,ENSG00000204305,EFO_1000172,cervical squamous cell carcinoma,cancer or benign tumor; reproductive system or breast disease,0.082529712693548
AGER,ENSG00000204305,EFO_0005676,Autoimmune Hepatitis,endocrine system disease; immune system disease; gastrointestinal disease,0.0801592012932725
AGER,ENSG00000204305,MONDO_0011962,endometrial cancer,reproductive system or breast disease; cancer or benign tumor,0.0800680537353923
AGER,ENSG00000204305,MONDO_0007142,Townes-Brocks syndrome,"genetic, familial or congenital disease",0.0796306178061736
AGER,ENSG00000204305,EFO_1000906,dry eye syndrome,disorder of visual system; phenotype,0.0783303826623277
AGER,ENSG00000204305,EFO_0003884,chronic kidney disease,urinary system disease,0.0772232595430496
AGER,ENSG00000204305,MONDO_0001999,idiopathic pulmonary arterial hypertension,respiratory or thoracic disease; cardiovascular disease; phenotype,0.077078137238051
AGER,ENSG00000204305,EFO_1001517,renal fibrosis,urinary system disease; cancer or benign tumor,0.0756983662075517
AGER,ENSG00000204305,EFO_0000768,idiopathic pulmonary fibrosis,respiratory or thoracic disease; cancer or benign tumor,0.0745750105940753
AGER,ENSG00000204305,EFO_0000678,pterygium,disorder of visual system; nervous system disease; cancer or benign tumor,0.0742855507916251
AGER,ENSG00000204305,EFO_0000637,osteosarcoma,musculoskeletal or connective tissue disease; cancer or benign tumor,0.0727473445843268
AGER,ENSG00000204305,MONDO_0002974,cervical cancer,reproductive system or breast disease; cancer or benign tumor,0.0679378480661545
ALDH7A1,ENSG00000164904,MONDO_0009945,pyridoxine-dependent epilepsy,"nervous system disease; genetic, familial or congenital disease; nutritional or metabolic disease",0.794850774069567
ALDH7A1,ENSG00000164904,MONDO_0020741,pyridoxine-dependent epilepsy caused by ALDH7A1 mutant,"nervous system disease; genetic, familial or congenital disease; nutritional or metabolic disease",0.771761728572203
ALDH7A1,ENSG00000164904,EFO_0000508,genetic disorder,"genetic, familial or congenital disease",0.536380520373577
ALDH7A1,ENSG00000164904,HP_0001250,Seizure,phenotype,0.527506250132623
ALDH7A1,ENSG00000164904,EFO_0000474,epilepsy,nervous system disease,0.44015966731691
ALDH7A1,ENSG00000164904,HP_0002119,Ventriculomegaly,phenotype,0.425016832887407
ALDH7A1,ENSG00000164904,MONDO_0100062,genetic developmental and epileptic encephalopathy,"nervous system disease; genetic, familial or congenital disease",0.375328874646464
ALDH7A1,ENSG00000164904,HP_0032807,Neonatal seizure,phenotype,0.340937415946637
ALDH7A1,ENSG00000164904,MONDO_0008215,adult-onset autosomal dominant demyelinating leukodystrophy,"genetic, familial or congenital disease; nervous system disease",0.340013466309926
ALDH7A1,ENSG00000164904,MONDO_0013801,"developmental and epileptic encephalopathy, 13","nervous system disease; genetic, familial or congenital disease; nutritional or metabolic disease",0.332621869216232
ALDH7A1,ENSG00000164904,EFO_0003882,osteoporosis,"musculoskeletal or connective tissue disease; genetic, familial or congenital disease; phenotype",0.325720111357805
ALDH7A1,ENSG00000164904,EFO_0005319,contact dermatitis,immune system disease; integumentary system disease,0.275472051314675
ALDH7A1,ENSG00000164904,HP_0000707,Abnormality of the nervous system,phenotype,0.266097495372985
ALDH7A1,ENSG00000164904,HP_0012443,Abnormal brain morphology,phenotype,0.266097495372985
ALDH7A1,ENSG00000164904,MONDO_0100096,COVID-19,infectious disease,0.25895610461743
ALDH7A1,ENSG00000164904,MONDO_0018097,infantile spasms,nervous system disease,0.152949596250556
ALDH7A1,ENSG00000164904,MONDO_0010632,"developmental and epileptic encephalopathy, 1","nervous system disease; genetic, familial or congenital disease",0.147831941873881
ALDH7A1,ENSG00000164904,MONDO_0018226,infantile epileptic-dyskinetic encephalopathy,"nervous system disease; genetic, familial or congenital disease",0.147831941873881
ALDH7A1,ENSG00000164904,Orphanet_3175,Spasticity - intellectual disability - X-linked epilepsy,"nervous system disease; genetic, familial or congenital disease",0.147831941873881
ALDH7A1,ENSG00000164904,HP_0001249,Intellectual disability,phenotype,0.112993165850869
ALDH7A1,ENSG00000164904,HP_0002352,Leukoencephalopathy,phenotype,0.110873956405411
ALDH7A1,ENSG00000164904,EFO_0000616,neoplasm,cancer or benign tumor,0.0997131717495059
ALDH7A1,ENSG00000164904,Orphanet_777,X-linked non-syndromic intellectual disability,"genetic, familial or congenital disease",0.0923949636711754
ALDH7A1,ENSG00000164904,MONDO_0008315,prostate cancer,reproductive system or breast disease; cancer or benign tumor,0.0902721315441751
ALDH7A1,ENSG00000164904,MONDO_0007254,breast cancer,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.0862940993725917
ALDH7A1,ENSG00000164904,EFO_1001951,colorectal carcinoma,gastrointestinal disease; cancer or benign tumor,0.0822557393477171
ALDH7A1,ENSG00000164904,MONDO_0002025,psychiatric disorder,psychiatric disorder,0.0799272545501431
ALDH7A1,ENSG00000164904,MONDO_0009061,cystic fibrosis,"respiratory or thoracic disease; genetic, familial or congenital disease",0.0776030953957977
ALDH7A1,ENSG00000164904,MONDO_0018177,glioblastoma,nervous system disease; cancer or benign tumor,0.077003365442672
ALDH7A1,ENSG00000164904,MONDO_0012774,chromosome 15q13.3 microdeletion syndrome,"nervous system disease; genetic, familial or congenital disease",0.0739159709369404
ALDH7A1,ENSG00000164904,MONDO_0012946,"intellectual disability, autosomal dominant 3","nervous system disease; genetic, familial or congenital disease",0.0739159709369404
ALDH7A1,ENSG00000164904,MONDO_0013657,"intellectual disability, autosomal dominant 10","nervous system disease; genetic, familial or congenital disease",0.0739159709369404
ALDH7A1,ENSG00000164904,Orphanet_199318,15q13.3 microdeletion syndrome,"genetic, familial or congenital disease",0.0739159709369404
ALDH7A1,ENSG00000164904,MONDO_0004992,cancer,cancer or benign tumor,0.0733789121360335
ALDH7A1,ENSG00000164904,EFO_0005917,generalised epilepsy,"nervous system disease; genetic, familial or congenital disease",0.0672505982577018
ALDH7A1,ENSG00000164904,Orphanet_36387,Generalized epilepsy with febrile seizures-plus,"genetic, familial or congenital disease",0.0663381466609135
ALDH7A1,ENSG00000164904,MONDO_0004975,Alzheimer disease,psychiatric disorder; nervous system disease; phenotype,0.065681022949553
ALDH7A1,ENSG00000164904,EFO_0000495,fetal growth restriction,pregnancy or perinatal disease; reproductive system or breast disease,0.0582258146101547
ALDH7A1,ENSG00000164904,EFO_1001900,myoclonic epilepsy,nervous system disease,0.0551339227218638
ALDH7A1,ENSG00000164904,EFO_0003060,non-small cell lung carcinoma,respiratory or thoracic disease; cancer or benign tumor,0.0539646320347931
ALDH7A1,ENSG00000164904,MONDO_0958196,"epilepsy, early-onset, 3, with or without developmental delay","genetic, familial or congenital disease",0.0519555359715754
ALDH7A1,ENSG00000164904,MONDO_0011461,"generalized epilepsy with febrile seizures plus, type 2","genetic, familial or congenital disease; nervous system disease",0.0490875962992221
ALDH7A1,ENSG00000164904,MONDO_0013470,"generalized epilepsy with febrile seizures plus, type 7","nervous system disease; genetic, familial or congenital disease",0.04870323325035
ALDH7A1,ENSG00000164904,Orphanet_1949,Benign familial neonatal seizures,"pregnancy or perinatal disease; genetic, familial or congenital disease",0.0486441004736005
ALDH7A1,ENSG00000164904,EFO_0000182,hepatocellular carcinoma,gastrointestinal disease; endocrine system disease; cancer or benign tumor,0.0477833164651142
ALDH7A1,ENSG00000164904,MONDO_0004979,asthma,phenotype; respiratory or thoracic disease,0.0415682407959713
ALDH7A1,ENSG00000164904,EFO_0000341,chronic obstructive pulmonary disease,respiratory or thoracic disease,0.0378567237826434
ALDH7A1,ENSG00000164904,MONDO_0005180,Parkinson disease,"nervous system disease; genetic, familial or congenital disease",0.0377750438742341
ALDH7A1,ENSG00000164904,EFO_1000984,inflammatory breast carcinoma,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.0343709264856773
ALDH7A1,ENSG00000164904,EFO_1001052,myeloid sarcoma,cancer or benign tumor; hematologic disease; immune system disease; musculoskeletal or connective tissue disease,0.0343513287304525
B3GALT4,ENSG00000235863,MONDO_0007254,breast cancer,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.07717299606742
B3GALT4,ENSG00000235863,MONDO_0009623,Nijmegen breakage syndrome,"genetic, familial or congenital disease; nutritional or metabolic disease",0.0759281279235571
B3GALT4,ENSG00000235863,EFO_0000195,metabolic syndrome,nutritional or metabolic disease,0.0739159709369404
B3GALT4,ENSG00000235863,EFO_0000616,neoplasm,cancer or benign tumor,0.0661669963393004
B3GALT4,ENSG00000235863,EFO_1001951,colorectal carcinoma,gastrointestinal disease; cancer or benign tumor,0.0651692477094024
B3GALT4,ENSG00000235863,EFO_0000621,neuroblastoma,nervous system disease; cancer or benign tumor,0.0439570066276325
B3GALT4,ENSG00000235863,MONDO_0004992,cancer,cancer or benign tumor,0.0144649448680762
B3GALT4,ENSG00000235863,EFO_0000637,osteosarcoma,musculoskeletal or connective tissue disease; cancer or benign tumor,0.0138054501496055
B3GALT4,ENSG00000235863,EFO_0004190,open-angle glaucoma,disorder of visual system,0.0133048747686493
B3GALT4,ENSG00000235863,MONDO_0005575,colorectal cancer,gastrointestinal disease; cancer or benign tumor,0.0104792314574432
B3GALT4,ENSG00000235863,EFO_0005537,triple-negative breast cancer,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.00886991651243284
B3GALT4,ENSG00000235863,MONDO_0004975,Alzheimer disease,psychiatric disorder; nervous system disease; phenotype,0.00864406215679219
B3GALT4,ENSG00000235863,EFO_0000182,hepatocellular carcinoma,gastrointestinal disease; endocrine system disease; cancer or benign tumor,0.00776117694837874
B3GALT4,ENSG00000235863,EFO_0007532,uterine corpus cancer,reproductive system or breast disease; cancer or benign tumor,0.00776117694837874
B3GALT4,ENSG00000235863,EFO_1001331,"Genital neoplasm, female",reproductive system or breast disease; cancer or benign tumor,0.00570795553346373
B3GALT4,ENSG00000235863,EFO_0000756,melanoma,cancer or benign tumor,0.00406537840153172
B3GALT4,ENSG00000235863,EFO_0000519,glioblastoma multiforme,nervous system disease; cancer or benign tumor,0.00369579854684702
B3GALT4,ENSG00000235863,EFO_0000500,ganglioneuroma,nervous system disease; cancer or benign tumor,0.00369579854684702
B3GALT4,ENSG00000235863,MONDO_0021187,hyperlipidemia,nutritional or metabolic disease; phenotype,0.00369579854684702
B3GALT4,ENSG00000235863,Orphanet_91088,Other metabolic disease,"nutritional or metabolic disease; genetic, familial or congenital disease",0.00369579854684702
B3GALT4,ENSG00000235863,EFO_0000537,hypertension,cardiovascular disease; phenotype,0.00369579854684702
B3GALT4,ENSG00000235863,EFO_0000474,epilepsy,nervous system disease,0.00369579854684702
B3GALT4,ENSG00000235863,HP_0100806,Sepsis,phenotype,0.00356258266501596
B3GALT4,ENSG00000235863,MONDO_0008903,lung cancer,respiratory or thoracic disease; cancer or benign tumor,0.00295663883747761
B3GALT4,ENSG00000235863,EFO_0000181,head and neck squamous cell carcinoma,cancer or benign tumor,0.00221747912810821
B3GALT4,ENSG00000235863,EFO_0003914,atherosclerosis,cardiovascular disease,0.00221747912810821
B3GALT4,ENSG00000235863,MONDO_0002525,inherited lipid metabolism disorder,"genetic, familial or congenital disease; nutritional or metabolic disease",0.00221747912810821
B3GALT4,ENSG00000235863,MONDO_0016525,familial hyperaldosteronism,"genetic, familial or congenital disease; endocrine system disease",0.00221747912810821
B3GALT4,ENSG00000235863,MONDO_0016642,meningioma,nervous system disease; cancer or benign tumor,0.00221747912810821
B3GALT4,ENSG00000235863,MONDO_0008170,ovarian cancer,endocrine system disease; reproductive system or breast disease; cancer or benign tumor,0.00201215698661671
B3GALT4,ENSG00000235863,MONDO_0005147,type 1 diabetes mellitus,endocrine system disease; gastrointestinal disease; immune system disease; nutritional or metabolic disease; phenotype,0.00184789927342351
B3GALT4,ENSG00000235863,MONDO_0005180,Parkinson disease,"nervous system disease; genetic, familial or congenital disease",0.00184789927342351
B3GALT4,ENSG00000235863,EFO_0005772,neurodegenerative disease,nervous system disease,0.00184789927342351
B3GALT4,ENSG00000235863,MONDO_0007739,Huntington disease,"nervous system disease; genetic, familial or congenital disease",0.00147831941873881
B3GALT4,ENSG00000235863,EFO_0000228,adenocarcinoma,cancer or benign tumor,0.00147831941873881
B3GALT4,ENSG00000235863,EFO_0000673,prostate adenocarcinoma,cancer or benign tumor; reproductive system or breast disease,0.00147831941873881
B3GALT4,ENSG00000235863,MONDO_0005148,type 2 diabetes mellitus,endocrine system disease; nutritional or metabolic disease; phenotype,0.00147831941873881
B3GALT4,ENSG00000235863,MONDO_0001627,dementia,psychiatric disorder; nervous system disease; phenotype,0.00147831941873881
B3GALT4,ENSG00000235863,Orphanet_98454,Platelet storage pool disease,"hematologic disease; genetic, familial or congenital disease",0.00147831941873881
B3GALT4,ENSG00000235863,HP_0001300,Parkinsonism,phenotype,0.00147831941873881
BCAS4,ENSG00000124243,EFO_0004193,basal cell carcinoma,cancer or benign tumor; integumentary system disease,0.475679246362493
BCAS4,ENSG00000124243,EFO_0004198,skin neoplasm,integumentary system disease; cancer or benign tumor,0.413595825114258
BCAS4,ENSG00000124243,MONDO_0002898,skin cancer,integumentary system disease; cancer or benign tumor,0.400090559112733
BCAS4,ENSG00000124243,EFO_0009260,non-melanoma skin carcinoma,integumentary system disease; cancer or benign tumor,0.367449015352442
BCAS4,ENSG00000124243,EFO_0010176,keratinocyte carcinoma,integumentary system disease; cancer or benign tumor,0.309477101582898
BCAS4,ENSG00000124243,EFO_0001061,cervical carcinoma,cancer or benign tumor; reproductive system or breast disease,0.280211565003664
BCAS4,ENSG00000124243,HP_0005206,Pancreatic pseudocyst,phenotype,0.22947401711118
BCAS4,ENSG00000124243,EFO_1001754,Abruptio Placentae,pregnancy or perinatal disease; reproductive system or breast disease,0.195125892243639
BCAS4,ENSG00000124243,MONDO_0004975,Alzheimer disease,psychiatric disorder; nervous system disease; phenotype,0.0635677350057687
BCAS4,ENSG00000124243,EFO_0000729,ulcerative colitis,"gastrointestinal disease; immune system disease; genetic, familial or congenital disease",0.0272754944454759
BCAS4,ENSG00000124243,MONDO_0011565,metabolic syndrome X,"genetic, familial or congenital disease; nutritional or metabolic disease",0.0261512187482274
BCAS4,ENSG00000124243,EFO_0009759,Chronic Obstructive Asthma,phenotype; respiratory or thoracic disease,0.0228124039269822
BCAS4,ENSG00000124243,MONDO_0007254,breast cancer,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.0221900485223341
BCAS4,ENSG00000124243,EFO_1000999,joint disease,musculoskeletal or connective tissue disease,0.0211344851866876
BCAS4,ENSG00000124243,EFO_0004994,lumbar disc degeneration,"genetic, familial or congenital disease; musculoskeletal or connective tissue disease",0.0155223538967575
BCAS4,ENSG00000124243,EFO_0000616,neoplasm,cancer or benign tumor,0.0109233432494893
BCAS4,ENSG00000124243,EFO_0009708,metastasis,biological_process,0.00517411796558583
BCAS4,ENSG00000124243,MONDO_0004992,cancer,cancer or benign tumor,0.00487640086042315
BCAS4,ENSG00000124243,EFO_0000305,breast carcinoma,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.00461974818355877
BCAS4,ENSG00000124243,EFO_0003869,breast neoplasm,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.00459921596940962
BCAS4,ENSG00000124243,EFO_0000335,chromophobe renal cell carcinoma,urinary system disease; cancer or benign tumor,0.00439622306661756
BCAS4,ENSG00000124243,MONDO_0011962,endometrial cancer,reproductive system or breast disease; cancer or benign tumor,0.00369579854684702
BCAS4,ENSG00000124243,EFO_0000232,adenoma,cancer or benign tumor,0.00369579854684702
BCAS4,ENSG00000124243,EFO_0001365,age-related macular degeneration,"nervous system disease; genetic, familial or congenital disease; disorder of visual system; phenotype",0.00369579854684702
BCAS4,ENSG00000124243,EFO_0000313,carcinoma,cancer or benign tumor,0.00369579854684702
BCAS4,ENSG00000124243,EFO_0000621,neuroblastoma,nervous system disease; cancer or benign tumor,0.00295663883747761
BCAS4,ENSG00000124243,MONDO_0002108,thyroid cancer,endocrine system disease; cancer or benign tumor,0.00221747912810821
BCAS4,ENSG00000124243,EFO_1000043,ovarian serous cystadenocarcinoma,cancer or benign tumor; endocrine system disease; reproductive system or breast disease,0
BCAS4,ENSG00000124243,EFO_1000581,Thymoma,immune system disease; endocrine system disease; hematologic disease; cancer or benign tumor,0
BCAS4,ENSG00000124243,EFO_0000222,acute myeloid leukemia,hematologic disease; immune system disease; cancer or benign tumor; musculoskeletal or connective tissue disease,0
BCAS4,ENSG00000124243,MONDO_0000553,uterine corpus endometrial carcinoma,reproductive system or breast disease; cancer or benign tumor,0
BCAS4,ENSG00000124243,MONDO_0001056,gastric cancer,gastrointestinal disease; cancer or benign tumor,0
