gene,cell_type,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,tier,b,se,pval,fdr,or,or_lci,or_uci
HLA-B,CD4 ET,8444,9.49e-90,2.87e-26,3.3e-64,1,4.7e-24,Not colocalized,-0.187946771415247,0.0425897071309117,1.0196576331094e-05,0.00037426853605629,0.828658814394723,0.762294284750413,0.900800969403694
HLA-B,CD4 NC,8444,6.99e-101,2.87e-26,2.44e-75,1,4.7e-24,Not colocalized,-0.178150460776768,0.0403698126474122,1.0196576331094e-05,0.00037426853605629,0.836816505954682,0.77315533977505,0.905719495957882
HLA-B,CD4 SOX4,8444,5.61e-43,2.87e-26,1.95e-17,1,8.73e-19,Not colocalized,-0.282560787813626,0.0640297309128757,1.0196576331094e-05,0.00037426853605629,0.753850815623612,0.664939606061668,0.854650628471784
HLA-B,CD8 ET,8444,7.52e-111,2.87e-26,2.62e-85,1,4.7e-24,Not colocalized,-0.171126605179505,0.0387781707662313,1.0196576331094e-05,0.00037426853605629,0.842714874649474,0.781037730444302,0.909262551953145
HLA-B,CD8 NC,8444,3.64e-97,2.87e-26,1.27e-71,1,4.7e-24,Not colocalized,-0.181159485956149,0.041051673262385,1.01965763310939e-05,0.00037426853605629,0.834302288586453,0.769802904139154,0.904205875293462
HLA-B,CD8 S100B,8444,4.59e-84,2.87e-26,1.6e-58,1,4.7e-24,Not colocalized,-0.193948280849204,0.0439496801020403,1.01965763310939e-05,0.00037426853605629,0.82370050425754,0.755715985571472,0.897800938008553
HLA-B,DC,8444,1.81e-59,2.87e-26,6.31e-34,1,4.7e-24,Not colocalized,-0.234548370141594,0.0531498695994775,1.0196576331094e-05,0.00037426853605629,0.790927975667934,0.712680465102102,0.877766535391922
HLA-B,Mono C,8444,2.91e-84,2.87e-26,1.01e-58,1,4.7e-24,Not colocalized,-0.192768884162041,0.0436824227338015,1.01965763310939e-05,0.00037426853605629,0.824672547002799,0.757004233779907,0.89838970435377
HLA-B,Mono NC,8444,1.02e-101,2.87e-26,3.56e-76,1,4.7e-24,Not colocalized,-0.174086691939579,0.0394489416831475,1.01965763310939e-05,0.00037426853605629,0.840224053848082,0.777706078249074,0.907767703518969
HLA-B,NK,8444,5.88e-106,2.87e-26,2.05e-80,1,4.7e-24,Not colocalized,-0.170820058362764,0.038708705677533,1.0196576331094e-05,0.00037426853605629,0.842973245811124,0.781383571136471,0.909417499167297
HLA-B,NK R,8444,4.32e-65,2.87e-26,1.5e-39,1,4.7e-24,Not colocalized,-0.221618920318475,0.0502199896276963,1.0196576331094e-05,0.00037426853605629,0.801220635069171,0.726112657926401,0.884097665910288
HLA-C,B IN,8205,4.59e-50,2.87e-26,1.6e-24,1,7.08e-14,Not colocalized,-0.561144383539757,0.0686205100198144,2.89787726920511e-16,2.5020535785705e-14,0.570555755487353,0.498754851663834,0.65269313979357
HLA-C,B Mem,8205,1.73e-53,2.87e-26,6.01e-28,1,7.07e-14,Not colocalized,-0.534510586360817,0.0653635501360599,2.89787726920511e-16,2.5020535785705e-14,0.585955994836312,0.515497335334614,0.666045010032387
HLA-C,CD4 ET,8205,1.02e-39,2.87e-26,3.54e-14,1,8.6e-15,Not colocalized,-0.344547966755564,0.0903675161024461,0.000137433907446898,0.00424480824707939,0.708540564979626,0.593529537221607,0.845837823963601
HLA-C,CD4 NC,8205,1.58e-45,2.87e-26,5.52e-20,1,2.81e-20,Not colocalized,-0.303903425554426,0.0797073277227072,0.000137433907446898,0.00424480824707939,0.737932128395666,0.63120171785072,0.862709670646591
HLA-C,CD8 NC,8205,3.89e-44,2.87e-26,1.35e-18,1,4.21e-18,Not colocalized,-0.312097926355005,0.0818565689155109,0.000137433907446898,0.00424480824707939,0.731909851454902,0.623418770993431,0.859281201628082
HLA-C,CD8 S100B,8205,1.03e-33,2.87e-26,3.59e-08,1,1.08e-07,Not colocalized,-0.415975249946299,0.109101355180568,0.000137433907446898,0.00424480824707939,0.659696597808559,0.532690922314791,0.816983325469566
HLA-C,DC,8205,5.03e-34,2.87e-26,1.75e-08,1,1.05e-09,Not colocalized,-0.399604960503825,0.118096758501567,0.000715139848876868,0.0188667797630779,0.67058490123959,0.532019781443712,0.845239454349288
HLA-C,Mono C,8205,8.16e-47,2.87e-26,2.84e-21,1,7.07e-14,Not colocalized,-0.587837243689112,0.0718846925209061,2.89787726920511e-16,2.5020535785705e-14,0.555527456940052,0.482520804484489,0.63958020575712
HLA-C,Mono NC,8205,2.89e-40,2.87e-26,1.01e-14,1,7.19e-14,Not colocalized,-0.659462524104763,0.0806435136311347,2.89787726920511e-16,2.5020535785705e-14,0.51712920429288,0.44152359797399,0.605681361448638
