gene,logFC,logCPM,F,PValue,FDR,cell_type,scenario,omitted_donor,omitted_group,passes_primary_threshold
TXNDC15,-0.123136187783679,4.99036021077863,0.121470608903063,0.732192807999859,0.863532668431372,CD8_NC,Full,,Full,FALSE
H2AFY,-0.334857327135292,6.6636665120238,1.81698099431478,0.197248743899265,0.448845811915455,CD8_NC,Full,,Full,FALSE
TGFBI,0.538728352482073,4.60291737297369,2.02228159733455,0.175063265582993,0.4225672063732,CD8_NC,Full,,Full,FALSE
HNRNPA0,0.387880436456391,7.31694778826025,2.12341469372313,0.165220015859816,0.410153858781632,CD8_NC,Full,,Full,FALSE
FAM13B,-0.308920983870192,5.39531208548237,0.810487908485784,0.381942711187477,0.626633711945709,CD8_NC,Full,,Full,FALSE
BRD8,-0.140646146725502,5.66176399891817,0.18487858658885,0.67321099839953,0.831407809224362,CD8_NC,Full,,Full,FALSE
CDC23,-0.120073083824382,4.50089234663353,0.0913617918361913,0.766480003578434,0.882725559155318,CD8_NC,Full,,Full,FALSE
KDM3B,-0.861163142435075,4.89031152158467,2.83205032728145,0.112419570764418,0.33506566911067,CD8_NC,Full,,Full,FALSE
EGR1,4.28925532139223,4.3374345354084,31.3453133244397,4.46642379458612e-05,0.00734898499739978,CD8_NC,Full,,Full,TRUE
ETF1,0.214421922519548,4.86790336793083,0.240752230186876,0.630627780675641,0.804397738285591,CD8_NC,Full,,Full,FALSE
HSPA9,-0.329492719409529,6.5728825181853,0.89672928318267,0.358346323084559,0.606570391778849,CD8_NC,Full,,Full,FALSE
PAIP2,0.228527076413368,7.97161110792845,0.850933834250209,0.370562652147521,0.618097666242183,CD8_NC,Full,,Full,FALSE
TMEM173,0.0293383106265394,6.00800062143998,0.00734437021707193,0.932815580829726,0.970212421931791,CD8_NC,Full,,Full,FALSE
UBE2D2,0.456042522104976,7.91797443091742,3.90185635466891,0.0664990436679048,0.249692430203011,CD8_NC,Full,,Full,FALSE
PURA,-0.637205976906156,6.17472557555388,5.11497716686391,0.0386836980412324,0.186501345101869,CD8_NC,Full,,Full,TRUE
PFDN1,0.693747806486382,5.97139611140834,3.71172880572572,0.0727773641351086,0.263371039631473,CD8_NC,Full,,Full,FALSE
SRA1,0.548369637957618,5.36676478632918,2.67479976235983,0.122354486855191,0.350092266778551,CD8_NC,Full,,Full,FALSE
APBB3,-0.00703350988331347,4.47746709361364,0.000292020224724053,0.986584767205089,0.992789556965364,CD8_NC,Full,,Full,FALSE
SLC35A4,-0.518408731190537,5.01917298823773,2.27481438290303,0.151792594317964,0.393082117495274,CD8_NC,Full,,Full,FALSE
CD14,1.75484079941472,6.33529684479307,20.3199258972648,0.000394984096953223,0.0232519791804539,CD8_NC,Full,,Full,TRUE
NDUFA2,1.04238087114198,7.35166235918707,19.808943741414,0.000442947556371305,0.0242939698225185,CD8_NC,Full,,Full,TRUE
IK,-0.0291445142013542,7.57206190402722,0.0172933158166869,0.897085070596513,0.95287767285744,CD8_NC,Full,,Full,FALSE
