cell_type,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,FDR_within_celltype,FDR_across_all_evaluable_tests,test_status,pathway_label
CD4_NC,HALLMARK_E2F_TARGETS,0.105,0.186595014181221,0.219250346703755,-0.273338700340459,-1.18821320181101,165,MCM3|MYC|NCAPD2|LBR|SUV39H1|PRKDC|NBN|SMC1A|RPA1|TUBB|ASF1A|PSMC3IP|TACC3|NUP153|CTCF|MCM6|LMNB1|CSE1L|SRSF1|POLD1|CBX5|IPO7|DCK|ILF3|PSIP1|GSPT1|CDC25B|EED|RPA2|RAD50|PPP1R8|MCM2|CCP110|NOLC1|DCLRE1B|RACGAP1|TBRG4|PDS5B|TIPIN|SLBP|SYNCRIP|BRCA2|PHF5A|RAD1|SSRP1|UNG|WDR90,0.186595014181221,0.194444444444444,Evaluated,E2F TARGETS
CD4_NC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.00279238363271586,0.0107399370489071,0.431707695803346,0.434273385672271,1.63007531083558,76,AREG|SAT1|TNFAIP3|CXCL8|GADD45A|RHOB|LGALS1|PLAUR|JUN|GADD45B|GLIPR1|PTX3|PPIB|TIMP1|VEGFA|VCAN|ID2|CAPG|TGFBI|BASP1|IL15|COL6A2|CADM1|PFN2,0.0107399370489071,0.0132970649176946,Evaluated,EPITHELIAL MESENCHYMAL TRANSITION
CD4_NC,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.131067961165049,0.192747001713307,0.191892240384838,-0.292688258314958,-1.19714457927519,112,MYC|FKBP5|MYBBP1A|FCMR|MINDY1|AKAP1|FLNB|CISH|IL6ST|TIAM1|NCOR2|AQP3|AFF1|ITPK1|ABHD2|FASN|SH3BP5|ADD3|NRIP1|IGF1R|LRIG1|BCL2|SLC26A2|SLC2A1|CANT1|SLC16A1|AMFR|MED13L|RARA|FKBP4|ABLIM1|CELSR2|KDM4B|TJP3|RASGRP1|SLC7A5|MICB|MAST4,0.192747001713307,0.211399937362982,Evaluated,ESTROGEN RESPONSE EARLY
CD4_NC,HALLMARK_ESTROGEN_RESPONSE_LATE,0.00813753844136095,0.0226042734482249,0.380730400722792,0.369484140195773,1.44327970388187,103,AREG|FOS|SGK1|S100A9|KLF4|MDK|RAB31|ZFP36|NXT1|HPRT1|DUSP2|GLA|BTG3|SORD|CD9|COX6C|SERPINA1|CKB|ID2|ALDH3B1|IMPA2|BLVRB|SIAH2|FABP5|GALE|ETFB|DYNLT3|TSPAN13|DCXR|CLIC3|BAG1|PRSS23|TOB1|PPIF,0.0226042734482249,0.0246592073980635,Evaluated,ESTROGEN RESPONSE LATE
CD4_NC,HALLMARK_FATTY_ACID_METABOLISM,0.052013422818792,0.104026845637584,0.257206466468838,0.326293248692956,1.30955653504162,123,MIF|G0S2|GABARAPL1|CD36|LGALS1|BPHL|S100A10|ACADVL|HSD17B11|SUCLG1|CA6|DECR1|OSTC|REEP6|SDHC|GSTZ1|MDH2|HSD17B10|PTS|HPGD|IDH3G|LDHA|MDH1|CD1D|BLVRA|PRDX6|ENO2|UROS|ODC1|ACAA2|BCKDHB|UBE2L6|ALDH1A1|TP53INP2|HADHB|D2HGDH|ECHS1|PSME1|PCBD1|IDI1|UROD|SUCLG2|ENO3|HSP90AA1|NTHL1|ACAT2,0.104026845637584,0.106149842487331,Evaluated,FATTY ACID METABOLISM
CD4_NC,HALLMARK_G2M_CHECKPOINT,0.00169130496256693,0.00768774982984967,0.45505986738723,-0.349874060192944,-1.50770683093112,153,MCM3|UPF1|MYC|G3BP1|NUP50|LBR|LIG3|RBM14|SUV39H1|SMC1A|SMAD3|SLC7A1|NUP98|TGFB1|NUMA1|SS18|TLE3|TACC3|PML|CTCF|MCM6|LMNB1|TOP1|MAPK14|SRSF1|CCNF|E2F2|SMC2|ILF3|CUL1|GSPT1|ABL1|DKC1|CDC25B|NOTCH2|RPA2|MCM2|NOLC1|HNRNPU|RACGAP1|PDS5B|CUL3|SYNCRIP|SLC7A5|PURA|BRCA2,0.00768774982984967,0.00939613868092737,Evaluated,G2M CHECKPOINT
CD4_NC,HALLMARK_GLYCOLYSIS,0.0367007260307575,0.0834107409789942,0.321775918075361,0.327507425801193,1.32076705206371,129,MIF|IER3|GLCE|TXN|CXCR4|GLRX|SLC25A13|IL13RA1|PPIA|PYGL|VEGFA|IRS2|VCAN|SRD5A3|PGK1|TGFBI|TALDO1|NDUFV3|AKR1A1|SOD1|RBCK1|FAM162A|GUSB|SDHC|MDH2|GALE|ENO1|CYB5A|LDHA|PGLS|HSPA5|TPI1|MDH1|ANG,0.0834107409789942,0.0834107409789942,Evaluated,GLYCOLYSIS
CD4_NC,HALLMARK_HEDGEHOG_SIGNALING,0.108225108225108,0.186595014181221,0.199915231309662,-0.509313497994515,-1.39437911590718,16,MYH9|TLE3|PML|AMOT|PTCH1|LDB1|ETS2|CDK5R1|NF1,0.186595014181221,0.196772924045651,Evaluated,HEDGEHOG SIGNALING
CD4_NC,HALLMARK_HEME_METABOLISM,0.340909090909091,0.426136363636364,0.115734447701689,-0.24654147686337,-1.05168718910817,141,ADD1|RBM5|FOXJ2|LRP10|MINPP1|ALDH6A1|MKRN1|TOP1|NEK7|XPO7|AQP3|E2F2|ALAD|CDR2|EPB41|CLCN3|DMTN|FBXO34|SLC2A1|GAPVD1|TRAK2|NFE2L1|BTRC|SLC10A3|CPOX|LPIN2|NCOA4|KDM7A|GCLC,0.426136363636364,0.452811283671818,Evaluated,HEME METABOLISM
CD4_NC,HALLMARK_HYPOXIA,0.000314683531211759,0.00224773950865542,0.49849310876659,0.412763917326029,1.6623426414694,126,MIF|FOS|TNFAIP3|CDKN1A|NFIL3|MT2A|IER3|DDIT3|ATF3|SLC2A3|ZFP36|S100A4|CXCR4|DUSP1|PLAUR|JUN|ADM|GLRX|PLAC8|HMOX1|MAFF|VEGFA|PPP1R15A|IRS2|MT1E|PRDX5|PGK1|TGFBI|FBP1|FAM162A|SIAH2|ENO1|TIPARP|GAPDH|LDHA|HSPA5|TPI1,0.00224773950865542,0.002622362760098,Evaluated,HYPOXIA
CD4_NC,HALLMARK_IL2_STAT5_SIGNALING,0.122112211221122,0.190800330033003,0.161978948883402,0.292735471088814,1.20533611120994,148,NFKBIZ|GPX4|CD83|MXD1|ITGAE|GABARAPL1|NFIL3|MAP3K8|ICOS|HOPX|RHOB|SLC2A3|CST7|GADD45B|CD86|IFITM3|ARL4A|MAFF|GSTO1|PRNP|CTSZ|CD48|GLIPR2|IKZF2,0.190800330033003,0.203520352035204,Evaluated,IL2 STAT5 SIGNALING
CD4_NC,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0437062937062937,0.0950136819702037,0.287857117255149,0.388713956117665,1.40019368473047,60,IL1B|MAP3K8|CD36|LTBR|CSF3R|JUN|CCR1|HMOX1|IL13RA1|CD9|TNF|CD14|GRB2|IFNGR2|SOCS3,0.0950136819702037,0.0950136819702037,Evaluated,IL6 JAK STAT3 SIGNALING
