pathway,cell_type,median_LODO_NES,min_LODO_NES,max_LODO_NES,full_NES,full_FDR,direction_concordance,pathway_label
HALLMARK_ADIPOGENESIS,CD4_NC,1.35850543698927,1.24071415240994,1.48001874051324,1.33506748199101,0.0810139056066752,1,Adipogenesis
HALLMARK_ADIPOGENESIS,CD8_NC,1.44019783473487,1.33496092275528,1.54392857275562,1.35836801839115,0.0820535600293174,1,Adipogenesis
HALLMARK_ALLOGRAFT_REJECTION,CD4_NC,1.49271587316437,1.36729059753092,1.74448036749528,1.45133409449624,0.0151002842181406,1,Allograft Rejection
HALLMARK_ALLOGRAFT_REJECTION,CD8_NC,1.33765389824103,1.08237568913546,1.46688748387944,1.4191928917609,0.0317135880486114,1,Allograft Rejection
HALLMARK_ANDROGEN_RESPONSE,CD4_NC,0.687435650129328,-0.918388040231633,1.2316894877904,0.804730400880478,0.923955870764381,0.571428571428571,Androgen Response
HALLMARK_ANDROGEN_RESPONSE,CD8_NC,1.13598916663917,0.856485133893636,1.36837553086461,1.27355267110611,0.181241101091599,1,Androgen Response
HALLMARK_ANGIOGENESIS,CD4_NC,1.277879352036,1.08714668903268,1.38924726467788,1.31400079353319,0.202890494719288,1,Angiogenesis
HALLMARK_APICAL_JUNCTION,CD4_NC,-1.17152139168095,-1.4305664194601,-1.12446477049335,-1.18098841910847,0.20948896494748,1,Apical Junction
HALLMARK_APICAL_JUNCTION,CD8_NC,-1.47253367954523,-1.7096951569513,-1.32949898446391,-1.60198809346245,0.0196508553985994,1,Apical Junction
HALLMARK_APICAL_SURFACE,CD4_NC,0.681956243357142,-0.652977283163342,0.933450472248932,0.820529970458757,0.841006752608963,0.714285714285714,Apical Surface
HALLMARK_APICAL_SURFACE,CD8_NC,0.587982612189141,-1.19328753873316,0.888308605408366,-0.740905100190376,0.834118891881493,0.428571428571429,Apical Surface
HALLMARK_APOPTOSIS,CD4_NC,1.56418539951575,1.42076780768066,1.73685967183154,1.51501721884238,0.0142831541051123,1,Apoptosis
HALLMARK_APOPTOSIS,CD8_NC,1.64872657545799,1.50545247300145,1.9832055002161,1.66467484384032,0.00995361013597411,1,Apoptosis
HALLMARK_BILE_ACID_METABOLISM,CD4_NC,0.815046351785456,0.760293323112995,0.933012552624679,0.782230828617278,0.924185463659148,1,Bile Acid Metabolism
HALLMARK_BILE_ACID_METABOLISM,CD8_NC,0.941908204989907,0.642462001831114,1.09435632346433,0.815303891867648,0.80578872347165,1,Bile Acid Metabolism
HALLMARK_CHOLESTEROL_HOMEOSTASIS,CD4_NC,1.35224605651817,1.19406067382669,1.42806007858286,1.37823885618732,0.100900900900901,1,Cholesterol Homeostasis
HALLMARK_CHOLESTEROL_HOMEOSTASIS,CD8_NC,1.3243638719274,1.0705058695687,1.49675342942407,1.28839915697107,0.217619105641526,1,Cholesterol Homeostasis
HALLMARK_COAGULATION,CD4_NC,1.49791497348289,1.12788787719961,1.7435119000541,1.4066396989192,0.0974220623501199,1,Coagulation
HALLMARK_COAGULATION,CD8_NC,1.21435668081677,0.857298135427595,1.53228570619269,1.12821138739682,0.443548387096774,1,Coagulation
HALLMARK_COMPLEMENT,CD4_NC,1.56506315845686,1.44732588121466,1.7659810016426,1.58874838907925,0.00594528488630414,1,Complement
HALLMARK_COMPLEMENT,CD8_NC,1.50701973543835,1.29309314642114,1.75380585649016,1.56880277345619,0.0207375373076818,1,Complement
HALLMARK_DNA_REPAIR,CD4_NC,1.53969005729841,1.47804825546996,1.66729857521828,1.57085502428628,0.00594528488630414,1,Dna Repair
HALLMARK_DNA_REPAIR,CD8_NC,1.42397103159259,1.10561856187042,1.54908581968158,1.49699817388609,0.0243389546329513,1,Dna Repair
HALLMARK_E2F_TARGETS,CD4_NC,-1.19306812415123,-1.23422700225455,-1.13346907362818,-1.20438527202746,0.107573149741824,1,E2f Targets
HALLMARK_E2F_TARGETS,CD8_NC,-0.97753568453465,-1.26423889292872,-0.80092871654543,-0.969221755063461,0.594105733640617,1,E2f Targets
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,CD4_NC,1.63857740194362,1.48439262573773,1.88052188684535,1.63702423510993,0.0118555723533845,1,Epithelial Mesenchymal Transition
