cell_type,exact_P_F,exact_P_abs_logFC,exact_BH_within_celltype
CD4_NC,0.0571428571428571,0.0571428571428571,0.158913241721958
CD8_NC,0.0285714285714286,0.0571428571428571,0.21983556012333
